TransactionID,risk_score,risk_level,TransactionAmt,ProductCD,predicted_fraud,actual_isFraud,top_reason_1,top_reason_2,top_reason_3,recommended_action,analyst_note
3521774,0.9940387274278502,High,34.921,C,1,1,V45,C1,card1,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, card1. Recommended action: Review immediately."
3478001,0.9938524342621272,High,150.0,H,1,1,C1,C14,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C14, C13. Recommended action: Review immediately."
3568542,0.9938378913124716,High,22.625,C,1,0,C1,V45,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, V45, C13. Recommended action: Review immediately."
3542865,0.993678096680685,High,22.993,C,1,1,V45,C1,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, C14. Recommended action: Review immediately."
3542876,0.993678096680685,High,22.993,C,1,1,C1,V45,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, V45, C14. Recommended action: Review immediately."
3499499,0.9936748524335872,High,5.779,C,1,1,C1,V45,C12,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, V45, C12. Recommended action: Review immediately."
3560148,0.9934026513425224,High,16.354,C,1,1,C1,V45,C8,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, V45, C8. Recommended action: Review immediately."
3471982,0.9929804151804508,High,45.926,C,1,1,C1,C13,D8,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, D8. Recommended action: Review immediately."
3472322,0.9924231560408376,High,8.976,C,1,1,V45,C1,C12,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, C12. Recommended action: Review immediately."
3510782,0.9923530718634812,High,106.729,C,1,1,C1,V45,C12,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, V45, C12. Recommended action: Review immediately."
3534401,0.9923404237587056,High,33.261,C,1,1,V45,C1,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, C14. Recommended action: Review immediately."
3494909,0.9922609231699508,High,14.325,C,1,1,C1,D3,C12,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, D3, C12. Recommended action: Review immediately."
3523515,0.9921950754284864,High,13.464,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3504259,0.9920863527368872,High,53.549,C,1,1,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3552711,0.9920437805559006,High,6.042,C,1,1,C14,C1,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C14, C1, C13. Recommended action: Review immediately."
3519314,0.9919757531535892,High,12.296,C,1,1,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3552038,0.9919460203257838,High,81.092,C,1,0,V45,C1,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, C13. Recommended action: Review immediately."
3542920,0.9918438139723964,High,22.993,C,1,1,V45,C1,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, C14. Recommended action: Review immediately."
3481060,0.9913438195175376,High,44.266,C,1,1,C1,C12,V45,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, V45. Recommended action: Review immediately."
3516550,0.9908961200068976,High,22.748,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3499623,0.990889696264989,High,99.721,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3519377,0.9908835401532946,High,107.221,C,1,1,V45,C14,C1,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C14, C1. Recommended action: Review immediately."
3543547,0.9907170141048854,High,59.021,C,1,1,C1,C12,D13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, D13. Recommended action: Review immediately."
3534382,0.9906928778092088,High,33.261,C,1,1,V45,C14,C1,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C14, C1. Recommended action: Review immediately."
3562618,0.9903970956464632,High,59.144,C,1,1,C1,V45,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, V45, C13. Recommended action: Review immediately."
3541889,0.9902720285470072,High,39.224,C,1,1,C1,C13,C12,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, C12. Recommended action: Review immediately."
3542954,0.9901221010064196,High,22.993,C,1,1,V45,C1,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, C14. Recommended action: Review immediately."
3560235,0.989822131902782,High,16.354,C,1,1,C1,C13,D8,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, D8. Recommended action: Review immediately."
3494009,0.9898088691367966,High,47.708,C,1,1,C1,V45,D14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, V45, D14. Recommended action: Review immediately."
3519769,0.9893428101905528,High,275.0,R,1,1,C1,C14,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C14, C13. Recommended action: Review immediately."
3554554,0.988753476168734,High,119.21,C,1,1,C1,V45,card2,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, V45, card2. Recommended action: Review immediately."
3513782,0.988713732985538,High,300.0,R,1,1,C14,C13,D8,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C14, C13, D8. Recommended action: Review immediately."
3495130,0.988663619057042,High,14.325,C,1,1,C1,C13,R_emaildomain,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, R_emaildomain. Recommended action: Review immediately."
3500882,0.9885600301945572,High,32.277,C,1,0,V45,C14,C1,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C14, C1. Recommended action: Review immediately."
3499667,0.98833631443817,High,39.101,C,1,1,C1,C12,D14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, D14. Recommended action: Review immediately."
3489069,0.988243456675261,High,150.0,H,1,1,C1,C13,D8,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, D8. Recommended action: Review immediately."
3495084,0.987953749671151,High,14.325,C,1,1,C1,C13,D3,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, D3. Recommended action: Review immediately."
3459403,0.9879055049989004,High,14.386,C,1,1,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3570055,0.9877035279785944,High,30.0,S,1,1,C1,C14,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C14, C13. Recommended action: Review immediately."
3461476,0.9874182319146968,High,59.513,C,1,1,C1,D13,C12,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, D13, C12. Recommended action: Review immediately."
3558335,0.9872728850957851,High,71.932,C,1,1,C1,C13,C11,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, C11. Recommended action: Review immediately."
3484630,0.98695058157076,High,47.217,C,1,1,V45,C1,D8,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, D8. Recommended action: Review immediately."
3559952,0.9863619928075228,High,16.354,C,1,1,C1,C13,D10,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, D10. Recommended action: Review immediately."
3564645,0.986340594607176,High,38.118,C,1,1,V45,C14,C1,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C14, C1. Recommended action: Review immediately."
3520625,0.9858133792495604,High,73.776,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3507277,0.9857472100231062,High,8.361,C,1,1,C1,C12,card2,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, card2. Recommended action: Review immediately."
3570779,0.985725611239283,High,82.629,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3560224,0.98562955972186,High,16.354,C,1,1,C1,C13,D8,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, D8. Recommended action: Review immediately."
3516549,0.9854766931126916,High,22.748,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3464875,0.9853789192327708,High,71.932,C,1,1,C1,C13,R_emaildomain,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, R_emaildomain. Recommended action: Review immediately."
3572266,0.9853068951897156,High,250.0,R,1,1,C1,C14,D8,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C14, D8. Recommended action: Review immediately."
3567746,0.9852291016799708,High,31.847,C,1,1,C14,D8,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C14, D8, C13. Recommended action: Review immediately."
3559524,0.9851021250851052,High,75.0,R,1,1,C1,C14,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C14, C13. Recommended action: Review immediately."
3566075,0.9850785907937134,High,16.354,C,1,1,C1,C13,C12,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, C12. Recommended action: Review immediately."
3552876,0.9849534389437248,High,141.281,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3577004,0.98485431726712,High,300.0,R,1,1,C1,C14,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C14, C13. Recommended action: Review immediately."
3490120,0.9846224436344116,High,225.0,R,1,1,P_emaildomain,C1,ProductCD,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are P_emaildomain, C1, ProductCD. Recommended action: Review immediately."
3475670,0.98435130464449,High,53.611,C,1,1,V45,C14,C1,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are V45, C14, C1. Recommended action: Review immediately."
3531314,0.9843226137846974,High,7.255,C,1,1,C1,C13,TransactionAmt,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C13, TransactionAmt. Recommended action: Review immediately."
3479587,0.9842405678553302,High,44.266,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3511661,0.9842311198997384,High,53.856,C,1,0,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3554894,0.984021232920652,High,119.21,C,1,1,C1,C13,C8,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C13, C8. Recommended action: Review immediately."
3485027,0.9838875998977878,High,77.957,C,1,1,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3510102,0.9838813795888056,High,27.051,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3534580,0.9827318948747746,High,150.0,H,1,1,C14,C13,C11,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C14, C13, C11. Recommended action: Review immediately."
3552104,0.9827152880587842,High,8.915,C,1,1,V45,C1,V44,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are V45, C1, V44. Recommended action: Review immediately."
3523501,0.9824869244056416,High,13.464,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3548637,0.9824688512188812,High,118.287,C,1,1,V45,C1,card2,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are V45, C1, card2. Recommended action: Review immediately."
3512621,0.9823858250978312,High,350.0,R,1,1,C14,C1,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C14, C1, C13. Recommended action: Review immediately."
3499702,0.982221369917685,High,19.551,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3562833,0.981395835498134,High,96.524,C,1,1,C1,C13,D8,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C13, D8. Recommended action: Review immediately."
3558033,0.9813885837750398,High,100.0,R,1,1,C1,C14,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C14, C13. Recommended action: Review immediately."
3570763,0.9813420665991126,High,82.629,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3475419,0.981317647185188,High,79.186,C,1,0,C1,V45,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, V45, C13. Recommended action: Review immediately."
3474076,0.9812703043755538,High,112.325,C,1,1,C1,D13,C14,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, D13, C14. Recommended action: Review immediately."
3542088,0.980020731369526,High,8.361,C,1,1,C1,C12,D8,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C12, D8. Recommended action: Review immediately."
3495033,0.979361949302601,High,14.325,C,1,1,C1,C13,D10,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C13, D10. Recommended action: Review immediately."
3494905,0.9787739909579058,High,14.325,C,1,1,C1,D3,C12,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, D3, C12. Recommended action: Review immediately."
3510108,0.9783468009873996,High,27.051,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3510970,0.9782988205172084,High,40.946,C,1,1,D2,C13,card1,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are D2, C13, card1. Recommended action: Review immediately."
3545324,0.9779794872486608,High,300.0,R,1,1,C14,C1,ProductCD,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C14, C1, ProductCD. Recommended action: Review immediately."
3480693,0.977530467034178,High,350.0,R,1,1,C14,C1,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C14, C1, C13. Recommended action: Review immediately."
3553737,0.977295322497748,High,9.283,C,1,1,C1,C13,D8,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C13, D8. Recommended action: Review immediately."
3485778,0.976906601947642,High,65.353,C,1,1,C1,D8,C13,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, D8, C13. Recommended action: Review immediately."
3571965,0.9763515818480956,High,25.746,C,1,0,C1,card1,D8,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, card1, D8. Recommended action: Review immediately."
3494986,0.9754642472527372,High,14.325,C,1,1,C1,C13,D3,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C13, D3. Recommended action: Review immediately."
3469527,0.9753507006131862,High,6.394,C,1,0,C1,C13,D2,Review immediately,"This transaction received a fraud risk score of 0.98. The main risk drivers are C1, C13, D2. Recommended action: Review immediately."
3463793,0.9749230118747122,High,20.288,C,1,1,C1,C13,D2,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C13, D2. Recommended action: Review immediately."
3479186,0.974233129944862,High,165.135,C,1,1,C14,D8,C13,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, D8, C13. Recommended action: Review immediately."
3513686,0.9739646084603188,High,24.961,C,1,1,C14,V45,R_emaildomain,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, V45, R_emaildomain. Recommended action: Review immediately."
3499580,0.9734906317689844,High,450.0,R,1,1,C14,C13,TransactionAmt,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, C13, TransactionAmt. Recommended action: Review immediately."
3577015,0.9732241025152276,High,100.0,R,1,1,C1,C14,ProductCD,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C14, ProductCD. Recommended action: Review immediately."
3507258,0.9730980544687062,High,8.361,C,1,1,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
3576176,0.9727291036663036,High,300.0,R,1,1,C14,C1,TransactionAmt,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, C1, TransactionAmt. Recommended action: Review immediately."
3567915,0.972722700051785,High,100.0,R,1,0,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3524453,0.972683963778893,High,500.0,R,1,1,C14,C1,TransactionAmt,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, C1, TransactionAmt. Recommended action: Review immediately."
3521217,0.9725049700237302,High,39.962,C,1,1,C14,C1,C13,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, C1, C13. Recommended action: Review immediately."
3528725,0.9721810413806716,High,100.0,H,1,0,C1,C14,D8,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C14, D8. Recommended action: Review immediately."
3551030,0.9715509523624016,High,74.101,C,1,0,C1,card1,V45,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, card1, V45. Recommended action: Review immediately."
3539078,0.9714072148834147,High,80.416,C,1,1,C1,C13,D8,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C13, D8. Recommended action: Review immediately."
3566977,0.970977618065446,High,100.0,R,1,1,C1,ProductCD,C13,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, ProductCD, C13. Recommended action: Review immediately."
3537550,0.9706214365766148,High,0.878,C,1,0,C14,C13,TransactionAmt,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, C13, TransactionAmt. Recommended action: Review immediately."
3560180,0.9700451078379884,High,80.17,C,1,1,C1,C14,C13,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C14, C13. Recommended action: Review immediately."
3521213,0.9695849807532492,High,39.962,C,1,1,C14,C1,C13,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, C1, C13. Recommended action: Review immediately."
3556578,0.9693827496535052,High,300.0,R,1,1,C14,C13,ProductCD,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, C13, ProductCD. Recommended action: Review immediately."
3472411,0.969068178467563,High,42.114,C,1,1,C14,C13,C11,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, C13, C11. Recommended action: Review immediately."
3537595,0.9687977894226923,High,129.0,H,1,0,C14,D8,C1,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, D8, C1. Recommended action: Review immediately."
3553902,0.9678814889176895,High,8.115,C,1,1,C1,C13,TransactionAmt,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C13, TransactionAmt. Recommended action: Review immediately."
3552882,0.9674131020771684,High,141.281,C,1,1,C1,C12,card2,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C12, card2. Recommended action: Review immediately."
3555510,0.9672559087861424,High,23.854,C,1,1,C1,C11,V49,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, C11, V49. Recommended action: Review immediately."
3485771,0.9656996389437345,High,200.0,R,1,1,C14,C13,C1,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, C13, C1. Recommended action: Review immediately."
3552499,0.9656649109518516,High,20.903,C,1,1,C1,D2,C11,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, D2, C11. Recommended action: Review immediately."
3548546,0.9653876026757738,High,450.0,H,1,1,C14,TransactionAmt,C1,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C14, TransactionAmt, C1. Recommended action: Review immediately."
3466852,0.9653746171872204,High,66.03,C,1,1,C1,card2,D2,Review immediately,"This transaction received a fraud risk score of 0.97. The main risk drivers are C1, card2, D2. Recommended action: Review immediately."
3464188,0.9640803354951472,High,475.0,R,1,1,C1,C14,C13,Review immediately,"This transaction received a fraud risk score of 0.96. The main risk drivers are C1, C14, C13. Recommended action: Review immediately."
3487151,0.963561224182706,High,25.0,H,1,1,C1,C14,D8,Review immediately,"This transaction received a fraud risk score of 0.96. The main risk drivers are C1, C14, D8. Recommended action: Review immediately."
3520428,0.96251408165431,High,7.696,C,1,0,C1,C12,C13,Review immediately,"This transaction received a fraud risk score of 0.96. The main risk drivers are C1, C12, C13. Recommended action: Review immediately."
